,user,beer,rating
6677,ANDREW,Bellwoods Brewery: Monogamy - Galaxy,7.0
17888,ANDREW,Collective Arts Brewing: Collective Project: Dry Hop Sour,8.0
21423,ANDREW,Great Lakes Brewery: Devil's Pale Ale 666,6.0
2031,ANDREW,Sawdust City Brewing Co.: Skinny Dippin' Stout,7.0
2738,ANDREW,Woodhouse Brewing Co.: Woodhouse Lager,7.0
2637,ANDREW,Mill Street Brewery: Original Organic,7.0
2536,ANDREW,Sawdust City Brewing Co.: Princess Wears Girl Pants,8.0
6071,ANDREW,Beaus All Natural Brewing Company: Cherry Revue,6.0
31422,ANDREW,The Collingwood Brewery: 3-point Saison,6.0
31321,ANDREW,The Collingwood Brewery: Downhill Pale Ale,6.0
2435,ANDREW,Sawdust City Brewing Co.: Gateway Kolsch,8.0
27584,ANDREW,Mill Street Brewery: Cobblestone Stout,6.0
20918,ANDREW,Great Lakes Brewery: Harry Porter & The Bourbon Soaked Vanilla Bean,6.0
6172,ANDREW,Beaus All Natural Brewing Company: Blood Simple,6.0
2233,ANDREW,Sawdust City Brewing Co.: Lone Pine,8.0
5768,ANDREW,Beaus All Natural Brewing Company: Dark Helmüt,6.0
2334,ANDREW,Sawdust City Brewing Co.: Golden Beach,8.0
23342,ANDREW,Kensington Brewing Company: Fruit Stand Watermelon Wheat,3.0
31018,ANDREW,Sleeman Breweries Ltd.: Honey Brown Lager,4.0
1930,ANDREW,Bellwoods Brewery: Jelly King,9.0
17585,ANDREW,Collective Arts Brewing: Collective Arts / Donut Monster - Origin of Darkness,7.0
1627,ANDREW,Side Launch Brewing Company: Side Launch Wheat,7.0
12636,ANDREW,Brewery Ommegang: Duvel Rustica,8.0
11222,ANDREW,Brasserie Dieu du Ciel!: Corne du diable,9.0
1526,ANDREW,Brasserie D'Achouffe: La Chouffe,8.0
3041,ANDREW,The Collingwood Brewery: Rockwell,7.0
25867,ANDREW,Les 3 Brasseurs: Blond,6.0
1425,ANDREW,Redline Brewhouse: Clutch,8.0
7485,ANDREW,Bellwoods Brewery: Milkshark - Guava,8.0
18696,ANDREW,Flying Monkeys Craft Brewery: Flying Monkeys Paranormal Imperial Pumpkin Ale,6.0
25968,ANDREW,Les 3 Brasseurs: Brown,6.0
22029,ANDREW,High Park Brewery: Across the Pond,7.0
11121,ANDREW,Brasserie Dieu du Ciel!: Aphrodite,9.0
7384,ANDREW,Bellwoods Brewery: Monogamy - Citra,8.0
7182,ANDREW,Bellwoods Brewery: Skeleton Key - Coconut,5.0
21827,ANDREW,Great Lakes Brewery: Great Lakes Harry Porter,7.0
1829,ANDREW,"Brouwerij Rodenbach: Rodenbach Grand Cru,",10.0
6879,ANDREW,Bellwoods Brewery: Boogie Monster,7.0
2839,ANDREW,Brouwerij Artois: Stella Artois,7.0
6778,ANDREW,Bellwoods Brewery: Skeleton Key - Coffee,8.0
30917,ANDREW,Sleeman Breweries Ltd.: Clear,6.0
2940,ANDREW,Brewery Ommegang: Ommegang Pale Sour,9.0
26372,ANDREW,MacKinnon Brothers Brewing: 8 Man,7.0
7081,ANDREW,Bellwoods Brewery: Monogamy - Mosaic,8.0
1728,ANDREW,Blue Moon Brewing Company: Blue Moon,7.0
21726,ANDREW,Great Lakes Brewery: Great Lakes Karma Citra IPA,7.0
28190,ANDREW,Mill Street Brewery: Coffee Porter,7.0
6980,ANDREW,Bellwoods Brewery: Farmageddon,7.0
9707,ANDREW,Black Oak Brewing: Black Oak Ten Bitter Years,8.0
9808,ANDREW,Black Oak Brewing Company: Double Chocolate Cherry Stout,8.0
16575,ANDREW,Collective Arts Brewing: IPA No. 1,7.0
23746,ANDREW,Labatt Ontario Breweries: Canadian Ale,5.0
16474,ANDREW,Collective Arts Brewing: Stranger Than Fiction,8.0
9606,ANDREW,Big Rig Brewery: Alpha Bomb,7.0
23443,ANDREW,Kensington Brewing Company: India Pale Ale,3.0
24049,ANDREW,Labatt Ontario Breweries: Blue Citra,4.0
23645,ANDREW,Labatt Ontario Breweries: Brown Ale,4.0
9202,ANDREW,Bench Brewing Company: Ball's Falls Session IPA,7.0
213,ANDREW,Coors Brewing Company: Coors Light,4.0
11,ANDREW,Beau's All Natural Brewing Company: Beau's Lugtread,8.0
23544,ANDREW,Kensington Brewing Company: Baldwin FishEYE PA,4.0
9404,ANDREW,Big Rig Brewery: Gold Lagered Ale,7.0
112,ANDREW,Grupo Modelo: Corona,5.0
29705,ANDREW,Nickel Brook Brewing Company: Cause & Effect,8.0
1306,Alex,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,7.0
2013,Alex,Bellwoods Brewery: Jelly King,9.0
599,Alex,Creemore Spring Brewery: Creemore Springs Premium Lager,3.0
1609,Alex,Brasserie D'Achouffe: La Chouffe,7.0
1003,Alex,Guiness: Guinness,5.0
1912,Alex,"Brouwerij Rodenbach: Rodenbach Grand Cru,",7.0
1407,Alex,Sawdust City Brewing Co.: Juicin,6.0
801,Alex,Alexander Keiths: Red Amber Ale,3.0
1508,Alex,Redline Brewhouse: Clutch,6.0
700,Alex,Mill Street Brewery: 100th Meridian,5.0
1710,Alex,Side Launch Brewing Company: Side Launch Wheat,3.0
1205,Alex,Sierra Nevada Brewing Co.: Pale Ale,5.0
1811,Alex,Blue Moon Brewing Company: Blue Moon,6.0
296,Alex,Coors Brewing Company: Coors Light,2.0
94,Alex,Beau's All Natural Brewing Company: Beau's Lugtread,4.0
1104,Alex,Brasserie Dieu De Ciel!: Peche Mortel,7.0
498,Alex,Heineken: Heineken Lager,2.0
195,Alex,Grupo Modelo: Corona,2.0
1137,Anonymous1,Sierra Nevada Brewing Co.: Pale Ale,5.0
935,Anonymous1,Guiness: Guinness,7.0
1036,Anonymous1,Brasserie Dieu De Ciel!: Peche Mortel,7.0
228,Anonymous1,Coors Brewing Company: Coors Light,3.0
531,Anonymous1,Creemore Spring Brewery: Creemore Springs Premium Lager,5.0
1541,Anonymous1,Brasserie D'Achouffe: La Chouffe,7.0
1743,Anonymous1,Blue Moon Brewing Company: Blue Moon,4.0
430,Anonymous1,Heineken: Heineken Lager,5.0
26,Anonymous1,Beau's All Natural Brewing Company: Beau's Lugtread,5.0
733,Anonymous1,Alexander Keiths: Red Amber Ale,5.0
127,Anonymous1,Grupo Modelo: Corona,6.0
1793,Anonymous10,Blue Moon Brewing Company: Blue Moon,2.0
1692,Anonymous10,Side Launch Brewing Company: Side Launch Wheat,6.0
177,Anonymous10,Grupo Modelo: Corona,1.0
76,Anonymous10,Beau's All Natural Brewing Company: Beau's Lugtread,9.0
783,Anonymous10,Alexander Keiths: Red Amber Ale,2.0
480,Anonymous10,Heineken: Heineken Lager,1.0
985,Anonymous10,Guiness: Guinness,5.0
278,Anonymous10,Coors Brewing Company: Coors Light,1.0
682,Anonymous10,Mill Street Brewery: 100th Meridian,5.0
1897,Anonymous11,"Brouwerij Rodenbach: Rodenbach Grand Cru,",10.0
79,Anonymous11,Beau's All Natural Brewing Company: Beau's Lugtread,7.0
584,Anonymous11,Creemore Spring Brewery: Creemore Springs Premium Lager,5.0
1594,Anonymous11,Brasserie D'Achouffe: La Chouffe,7.0
382,Anonymous11,Sawdust City Brewing Co.: Little Norway,6.0
281,Anonymous11,Coors Brewing Company: Coors Light,1.0
1695,Anonymous11,Side Launch Brewing Company: Side Launch Wheat,6.0
1796,Anonymous11,Blue Moon Brewing Company: Blue Moon,3.0
483,Anonymous11,Heineken: Heineken Lager,3.0
685,Anonymous11,Mill Street Brewery: 100th Meridian,7.0
1291,Anonymous11,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,9.0
988,Anonymous11,Guiness: Guinness,6.0
887,Anonymous11,Clifford Brewing Co.: Clifford Porter,8.0
1998,Anonymous11,Bellwoods Brewery: Jelly King,9.0
1190,Anonymous11,Sierra Nevada Brewing Co.: Pale Ale,7.0
180,Anonymous11,Grupo Modelo: Corona,3.0
1089,Anonymous11,Brasserie Dieu De Ciel!: Peche Mortel,8.0
786,Anonymous11,Alexander Keiths: Red Amber Ale,4.0
1493,Anonymous11,Redline Brewhouse: Clutch,7.0
1392,Anonymous11,Sawdust City Brewing Co.: Juicin,8.0
1797,Anonymous12,Blue Moon Brewing Company: Blue Moon,10.0
80,Anonymous12,Beau's All Natural Brewing Company: Beau's Lugtread,6.0
181,Anonymous12,Grupo Modelo: Corona,1.0
1292,Anonymous12,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,10.0
1393,Anonymous12,Sawdust City Brewing Co.: Juicin,10.0
484,Anonymous12,Heineken: Heineken Lager,3.0
383,Anonymous12,Sawdust City Brewing Co.: Little Norway,10.0
282,Anonymous12,Coors Brewing Company: Coors Light,2.0
585,Anonymous12,Creemore Spring Brewery: Creemore Springs Premium Lager,8.0
787,Anonymous12,Alexander Keiths: Red Amber Ale,8.0
686,Anonymous12,Mill Street Brewery: 100th Meridian,10.0
1696,Anonymous12,Side Launch Brewing Company: Side Launch Wheat,10.0
693,Anonymous13,Mill Street Brewery: 100th Meridian,3.0
87,Anonymous13,Beau's All Natural Brewing Company: Beau's Lugtread,6.0
794,Anonymous13,Alexander Keiths: Red Amber Ale,4.0
1602,Anonymous13,Brasserie D'Achouffe: La Chouffe,8.0
390,Anonymous13,Sawdust City Brewing Co.: Little Norway,5.0
1804,Anonymous13,Blue Moon Brewing Company: Blue Moon,7.0
289,Anonymous13,Coors Brewing Company: Coors Light,3.0
1703,Anonymous13,Side Launch Brewing Company: Side Launch Wheat,7.0
592,Anonymous13,Creemore Spring Brewery: Creemore Springs Premium Lager,4.0
491,Anonymous13,Heineken: Heineken Lager,5.0
1198,Anonymous13,Sierra Nevada Brewing Co.: Pale Ale,5.0
1097,Anonymous13,Brasserie Dieu De Ciel!: Peche Mortel,7.0
188,Anonymous13,Grupo Modelo: Corona,7.0
1501,Anonymous13,Redline Brewhouse: Clutch,5.0
1400,Anonymous13,Sawdust City Brewing Co.: Juicin,9.0
1299,Anonymous13,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,8.0
2006,Anonymous13,Bellwoods Brewery: Jelly King,7.0
996,Anonymous13,Guiness: Guinness,8.0
895,Anonymous13,Clifford Brewing Co.: Clifford Porter,7.0
1905,Anonymous13,"Brouwerij Rodenbach: Rodenbach Grand Cru,",8.0
1952,Anonymous2,Bellwoods Brewery: Jelly King,10.0
942,Anonymous2,Guiness: Guinness,8.0
639,Anonymous2,Mill Street Brewery: 100th Meridian,6.0
538,Anonymous2,Creemore Spring Brewery: Creemore Springs Premium Lager,3.0
1447,Anonymous2,Redline Brewhouse: Clutch,7.0
336,Anonymous2,Sawdust City Brewing Co.: Little Norway,8.0
235,Anonymous2,Coors Brewing Company: Coors Light,1.0
740,Anonymous2,Alexander Keiths: Red Amber Ale,3.0
841,Anonymous2,Clifford Brewing Co.: Clifford Porter,7.0
437,Anonymous2,Heineken: Heineken Lager,4.0
1649,Anonymous2,Side Launch Brewing Company: Side Launch Wheat,10.0
1750,Anonymous2,Blue Moon Brewing Company: Blue Moon,5.0
1346,Anonymous2,Sawdust City Brewing Co.: Juicin,9.0
1245,Anonymous2,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,10.0
33,Anonymous2,Beau's All Natural Brewing Company: Beau's Lugtread,7.0
1851,Anonymous2,"Brouwerij Rodenbach: Rodenbach Grand Cru,",9.0
134,Anonymous2,Grupo Modelo: Corona,4.0
1751,Anonymous3,Blue Moon Brewing Company: Blue Moon,4.0
1650,Anonymous3,Side Launch Brewing Company: Side Launch Wheat,5.0
741,Anonymous3,Alexander Keiths: Red Amber Ale,3.0
1246,Anonymous3,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,6.0
943,Anonymous3,Guiness: Guinness,6.0
640,Anonymous3,Mill Street Brewery: 100th Meridian,4.0
236,Anonymous3,Coors Brewing Company: Coors Light,1.0
34,Anonymous3,Beau's All Natural Brewing Company: Beau's Lugtread,5.0
135,Anonymous3,Grupo Modelo: Corona,3.0
539,Anonymous3,Creemore Spring Brewery: Creemore Springs Premium Lager,8.0
438,Anonymous3,Heineken: Heineken Lager,3.0
141,Anonymous4,Grupo Modelo: Corona,3.0
444,Anonymous4,Heineken: Heineken Lager,1.0
949,Anonymous4,Guiness: Guinness,7.0
242,Anonymous4,Coors Brewing Company: Coors Light,1.0
1757,Anonymous4,Blue Moon Brewing Company: Blue Moon,9.0
1555,Anonymous4,Brasserie D'Achouffe: La Chouffe,9.0
1656,Anonymous4,Side Launch Brewing Company: Side Launch Wheat,9.0
551,Anonymous5,Creemore Spring Brewery: Creemore Springs Premium Lager,7.0
450,Anonymous5,Heineken: Heineken Lager,6.0
147,Anonymous5,Grupo Modelo: Corona,8.0
248,Anonymous5,Coors Brewing Company: Coors Light,6.0
753,Anonymous5,Alexander Keiths: Red Amber Ale,7.0
955,Anonymous5,Guiness: Guinness,4.0
652,Anonymous5,Mill Street Brewery: 100th Meridian,8.0
655,Anonymous6,Mill Street Brewery: 100th Meridian,7.0
1766,Anonymous6,Blue Moon Brewing Company: Blue Moon,6.0
150,Anonymous6,Grupo Modelo: Corona,2.0
756,Anonymous6,Alexander Keiths: Red Amber Ale,5.0
1160,Anonymous6,Sierra Nevada Brewing Co.: Pale Ale,8.0
958,Anonymous6,Guiness: Guinness,1.0
1968,Anonymous6,Bellwoods Brewery: Jelly King,6.0
453,Anonymous6,Heineken: Heineken Lager,6.0
49,Anonymous6,Beau's All Natural Brewing Company: Beau's Lugtread,7.0
1665,Anonymous6,Side Launch Brewing Company: Side Launch Wheat,4.0
251,Anonymous6,Coors Brewing Company: Coors Light,5.0
1972,Anonymous7,Bellwoods Brewery: Jelly King,9.0
760,Anonymous7,Alexander Keiths: Red Amber Ale,7.0
558,Anonymous7,Creemore Spring Brewery: Creemore Springs Premium Lager,6.0
659,Anonymous7,Mill Street Brewery: 100th Meridian,8.0
1669,Anonymous7,Side Launch Brewing Company: Side Launch Wheat,7.0
1265,Anonymous7,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,10.0
1568,Anonymous7,Brasserie D'Achouffe: La Chouffe,3.0
1467,Anonymous7,Redline Brewhouse: Clutch,7.0
962,Anonymous7,Guiness: Guinness,7.0
1063,Anonymous7,Brasserie Dieu De Ciel!: Peche Mortel,6.0
1164,Anonymous7,Sierra Nevada Brewing Co.: Pale Ale,8.0
1871,Anonymous7,"Brouwerij Rodenbach: Rodenbach Grand Cru,",4.0
1770,Anonymous7,Blue Moon Brewing Company: Blue Moon,7.0
154,Anonymous7,Grupo Modelo: Corona,9.0
457,Anonymous7,Heineken: Heineken Lager,8.0
255,Anonymous7,Coors Brewing Company: Coors Light,5.0
53,Anonymous7,Beau's All Natural Brewing Company: Beau's Lugtread,7.0
1982,Anonymous8,Bellwoods Brewery: Jelly King,10.0
972,Anonymous8,Guiness: Guinness,8.0
265,Anonymous8,Coors Brewing Company: Coors Light,4.0
1679,Anonymous8,Side Launch Brewing Company: Side Launch Wheat,8.0
1780,Anonymous8,Blue Moon Brewing Company: Blue Moon,7.0
164,Anonymous8,Grupo Modelo: Corona,5.0
568,Anonymous8,Creemore Spring Brewery: Creemore Springs Premium Lager,7.0
669,Anonymous8,Mill Street Brewery: 100th Meridian,8.0
467,Anonymous8,Heineken: Heineken Lager,5.0
1284,Anonymous9,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,8.0
1486,Anonymous9,Redline Brewhouse: Clutch,5.0
476,Anonymous9,Heineken: Heineken Lager,3.0
1587,Anonymous9,Brasserie D'Achouffe: La Chouffe,8.0
577,Anonymous9,Creemore Spring Brewery: Creemore Springs Premium Lager,5.0
72,Anonymous9,Beau's All Natural Brewing Company: Beau's Lugtread,5.0
1385,Anonymous9,Sawdust City Brewing Co.: Juicin,8.0
1991,Anonymous9,Bellwoods Brewery: Jelly King,9.0
981,Anonymous9,Guiness: Guinness,6.0
1890,Anonymous9,"Brouwerij Rodenbach: Rodenbach Grand Cru,",10.0
779,Anonymous9,Alexander Keiths: Red Amber Ale,5.0
880,Anonymous9,Clifford Brewing Co.: Clifford Porter,6.0
274,Anonymous9,Coors Brewing Company: Coors Light,2.0
1183,Anonymous9,Sierra Nevada Brewing Co.: Pale Ale,5.0
173,Anonymous9,Grupo Modelo: Corona,3.0
1789,Anonymous9,Blue Moon Brewing Company: Blue Moon,4.0
678,Anonymous9,Mill Street Brewery: 100th Meridian,6.0
1082,Anonymous9,Brasserie Dieu De Ciel!: Peche Mortel,10.0
1772,Ash,Blue Moon Brewing Company: Blue Moon,8.0
1570,Ash,Brasserie D'Achouffe: La Chouffe,5.0
1974,Ash,Bellwoods Brewery: Jelly King,10.0
1671,Ash,Side Launch Brewing Company: Side Launch Wheat,7.0
1873,Ash,"Brouwerij Rodenbach: Rodenbach Grand Cru,",8.0
762,Ash,Alexander Keiths: Red Amber Ale,6.0
863,Ash,Clifford Brewing Co.: Clifford Porter,5.0
661,Ash,Mill Street Brewery: 100th Meridian,7.0
1166,Ash,Sierra Nevada Brewing Co.: Pale Ale,7.0
1065,Ash,Brasserie Dieu De Ciel!: Peche Mortel,3.0
964,Ash,Guiness: Guinness,2.0
257,Ash,Coors Brewing Company: Coors Light,2.0
156,Ash,Grupo Modelo: Corona,6.0
55,Ash,Beau's All Natural Brewing Company: Beau's Lugtread,6.0
560,Ash,Creemore Spring Brewery: Creemore Springs Premium Lager,7.0
358,Ash,Sawdust City Brewing Co.: Little Norway,8.0
459,Ash,Heineken: Heineken Lager,7.0
1368,Ash,Sawdust City Brewing Co.: Juicin,5.0
1267,Ash,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,6.0
1469,Ash,Redline Brewhouse: Clutch,4.0
172,Benjamin,Grupo Modelo: Corona,9.0
576,Benjamin,Creemore Spring Brewery: Creemore Springs Premium Lager,8.0
475,Benjamin,Heineken: Heineken Lager,10.0
273,Benjamin,Coors Brewing Company: Coors Light,1.0
71,Benjamin,Beau's All Natural Brewing Company: Beau's Lugtread,1.0
980,Benjamin,Guiness: Guinness,10.0
778,Benjamin,Alexander Keiths: Red Amber Ale,4.0
92,Bob,Beau's All Natural Brewing Company: Beau's Lugtread,5.0
1506,Bob,Redline Brewhouse: Clutch,7.0
1607,Bob,Brasserie D'Achouffe: La Chouffe,7.0
294,Bob,Coors Brewing Company: Coors Light,3.0
193,Bob,Grupo Modelo: Corona,3.0
1304,Bob,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,7.0
1910,Bob,"Brouwerij Rodenbach: Rodenbach Grand Cru,",8.0
900,Bob,Clifford Brewing Co.: Clifford Porter,5.0
2011,Bob,Bellwoods Brewery: Jelly King,7.0
1708,Bob,Side Launch Brewing Company: Side Launch Wheat,6.0
1001,Bob,Guiness: Guinness,7.0
1809,Bob,Blue Moon Brewing Company: Blue Moon,3.0
1203,Bob,Sierra Nevada Brewing Co.: Pale Ale,5.0
1102,Bob,Brasserie Dieu De Ciel!: Peche Mortel,10.0
799,Bob,Alexander Keiths: Red Amber Ale,3.0
496,Bob,Heineken: Heineken Lager,3.0
395,Bob,Sawdust City Brewing Co.: Little Norway,5.0
1405,Bob,Sawdust City Brewing Co.: Juicin,7.0
698,Bob,Mill Street Brewery: 100th Meridian,4.0
597,Bob,Creemore Spring Brewery: Creemore Springs Premium Lager,4.0
24,Brendan,Beau's All Natural Brewing Company: Beau's Lugtread,8.0
1034,Brendan,Brasserie Dieu De Ciel!: Peche Mortel,3.0
226,Brendan,Coors Brewing Company: Coors Light,5.0
1842,Brendan,"Brouwerij Rodenbach: Rodenbach Grand Cru,",1.0
1135,Brendan,Sierra Nevada Brewing Co.: Pale Ale,5.0
1539,Brendan,Brasserie D'Achouffe: La Chouffe,6.0
1640,Brendan,Side Launch Brewing Company: Side Launch Wheat,6.0
327,Brendan,Sawdust City Brewing Co.: Little Norway,6.0
731,Brendan,Alexander Keiths: Red Amber Ale,7.0
428,Brendan,Heineken: Heineken Lager,6.0
933,Brendan,Guiness: Guinness,10.0
832,Brendan,Clifford Brewing Co.: Clifford Porter,7.0
125,Brendan,Grupo Modelo: Corona,7.0
529,Brendan,Creemore Spring Brewery: Creemore Springs Premium Lager,5.0
1741,Brendan,Blue Moon Brewing Company: Blue Moon,5.0
630,Brendan,Mill Street Brewery: 100th Meridian,9.0
1943,Brendan,Bellwoods Brewery: Jelly King,1.0
1236,Brendan,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,2.0
1337,Brendan,Sawdust City Brewing Co.: Juicin,3.0
421,Brent,Heineken: Heineken Lager,3.0
926,Brent,Guiness: Guinness,4.0
1532,Brent,Brasserie D'Achouffe: La Chouffe,8.0
1027,Brent,Brasserie Dieu De Ciel!: Peche Mortel,3.0
1936,Brent,Bellwoods Brewery: Jelly King,10.0
1835,Brent,"Brouwerij Rodenbach: Rodenbach Grand Cru,",9.0
623,Brent,Mill Street Brewery: 100th Meridian,4.0
522,Brent,Creemore Spring Brewery: Creemore Springs Premium Lager,3.0
1330,Brent,Sawdust City Brewing Co.: Juicin,8.0
118,Brent,Grupo Modelo: Corona,5.0
219,Brent,Coors Brewing Company: Coors Light,4.0
1734,Brent,Blue Moon Brewing Company: Blue Moon,5.0
1229,Brent,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,8.0
17,Brent,Beau's All Natural Brewing Company: Beau's Lugtread,5.0
1633,Brent,Side Launch Brewing Company: Side Launch Wheat,7.0
825,Brent,Clifford Brewing Co.: Clifford Porter,2.0
320,Brent,Sawdust City Brewing Co.: Little Norway,5.0
724,Brent,Alexander Keiths: Red Amber Ale,1.0
1128,Brent,Sierra Nevada Brewing Co.: Pale Ale,4.0
1431,Brent,Redline Brewhouse: Clutch,9.0
1781,Brody Currie,Blue Moon Brewing Company: Blue Moon,6.0
1680,Brody Currie,Side Launch Brewing Company: Side Launch Wheat,7.0
771,Brody Currie,Alexander Keiths: Red Amber Ale,5.0
670,Brody Currie,Mill Street Brewery: 100th Meridian,6.0
1377,Brody Currie,Sawdust City Brewing Co.: Juicin,8.0
266,Brody Currie,Coors Brewing Company: Coors Light,2.0
1276,Brody Currie,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,8.0
64,Brody Currie,Beau's All Natural Brewing Company: Beau's Lugtread,9.0
165,Brody Currie,Grupo Modelo: Corona,3.0
569,Brody Currie,Creemore Spring Brewery: Creemore Springs Premium Lager,5.0
468,Brody Currie,Heineken: Heineken Lager,4.0
1983,Brody Currie,Bellwoods Brewery: Jelly King,8.0
973,Brody Currie,Guiness: Guinness,7.0
1280,Cam,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,5.0
977,Cam,Guiness: Guinness,9.0
1583,Cam,Brasserie D'Achouffe: La Chouffe,6.0
1179,Cam,Sierra Nevada Brewing Co.: Pale Ale,7.0
1482,Cam,Redline Brewhouse: Clutch,7.0
573,Cam,Creemore Spring Brewery: Creemore Springs Premium Lager,5.0
472,Cam,Heineken: Heineken Lager,2.0
1987,Cam,Bellwoods Brewery: Jelly King,7.0
68,Cam,Beau's All Natural Brewing Company: Beau's Lugtread,9.0
270,Cam,Coors Brewing Company: Coors Light,1.0
169,Cam,Grupo Modelo: Corona,1.0
